id,created,modified,desc,measure,available_quantity,bonus,active,new_price,old_price,desc_en,desc_kr,desc_ru,desc_uz,weight,product_type,main
143,2024-03-16 16:31:37.53339+00,2026-01-28 08:27:46.352916+00,"",1,1000,0,t,2900,3200,"","","","",0.2,52c97f43-3d76-4ee5-82ce-441bc2ca08cb,t
49,2024-03-05 15:44:10.974794+00,2026-01-25 04:46:44.876923+00,"",3,1000,0,t,2700,3000,"","","","",0.5,f23723ab-f915-4c97-9d25-953103d3c8db,t
668,2025-10-12 02:23:16.258695+00,2025-10-12 02:23:16.258695+00,"",1,30,0,t,3000,3000,"","","","",1,569206c9-fdee-4fde-9588-92e0da33fbda,t
669,2025-10-12 02:24:13.412363+00,2025-10-12 02:24:13.412363+00,"",1,30,0,t,3000,3000,"","","","",1,2bb736ce-6a7a-42f7-87e0-15496831a798,t
671,2025-10-12 02:26:59.75682+00,2025-10-12 02:26:59.75682+00,"",1,500,0,t,7500,8000,"","","","",1,31d75a2c-2a02-41d7-9444-d9429c99b3e9,t
140,2024-03-16 15:50:54.999982+00,2026-01-28 10:54:34.357464+00,"",1,1000,0,t,7900,9500,"","","","",1,dd94c686-bd50-4440-bc72-a558b2911f78,t
125,2024-03-16 03:34:32.501228+00,2026-01-26 06:43:12.258673+00,"",1,1000,0,t,3800,4500,"","","","",1.3,7c35f19d-334e-4d88-8a8a-8b6c2d84a0cf,t
106,2024-03-15 14:46:12.480421+00,2026-01-25 05:08:03.805012+00,"",1,100,0,t,6900,7500,"","","","",0.6,39671beb-0b01-4d58-9941-68e81b432458,t
176,2024-03-18 17:36:47.951519+00,2025-06-23 10:56:33.336676+00,"",1,100,0,f,4000,4000,"","","","",1,804958a8-9e65-4dea-829b-1d1b41c254ed,f
194,2024-03-23 16:54:09.21984+00,2026-01-28 11:32:02.713428+00,"",1,4122,0,t,2900,3200,"","","","",0.5,5593eb00-58e0-45a4-b331-fee738e07a17,t
566,2025-09-08 11:20:24.215296+00,2025-10-19 09:55:25.453721+00,"",3,50,0,t,6000,6000,"","","","",0.2,0cd9e9b1-4580-4876-8f87-02397e727d31,t
149,2024-03-18 14:50:08.241693+00,2026-01-28 08:38:32.968005+00,"",1,1000,0,t,2600,2900,"","","","",0.3,9114425c-a019-4600-a5c3-0f1fff1366da,t
570,2025-09-08 11:23:35.250973+00,2025-10-19 09:57:56.610186+00,"",3,50,0,t,6000,6000,"","","","",1,cc223aca-1209-45ea-929d-92a375d1f9f6,t
751,2025-10-25 08:18:09.635645+00,2025-10-25 08:18:09.635645+00,"",1,50,0,t,10000,10000,"","","","",0.1,4da015db-12f0-4259-8d1c-f8021b7f5942,t
670,2025-10-12 02:25:25.457036+00,2025-10-25 02:57:07.774841+00,"",1,500,0,t,2500,2500,"","","","",0.5,a43d8449-1527-4d14-b706-e4da72f4d073,t
673,2025-10-12 02:37:27.649134+00,2025-10-25 02:57:41.09869+00,"",1,500,0,t,3000,3000,"","","","",0.3,a268af6d-c749-4d24-b634-a66e8790d834,t
95,2024-03-07 17:01:50.228835+00,2024-07-30 06:49:31.038683+00,"",1,6,0,t,235000,399000,"","","","",1,fa190add-948a-4fe5-ba5d-e44979866c1c,t
94,2024-03-07 16:47:20.685962+00,2024-07-30 06:49:31.731018+00,"",1,6,0,t,185000,324000,"","","","",1,1b3f9160-c731-4abb-9583-c22b7b1eada4,t
284,2024-07-13 02:36:12.288496+00,2025-11-20 04:14:28.363418+00,"",1,11,0,f,13500,13500,"","","","",1,c6bb5710-282d-4307-b798-c469486253ac,t
67,2024-03-06 05:03:47.138885+00,2026-01-25 04:59:23.743432+00,"",3,100,0,t,3900,4500,"","","","",0.5,24ad9bdf-2c88-41bd-afc2-dfa453e6f1d3,t
275,2024-07-13 02:09:05.683002+00,2026-01-31 08:27:24.577847+00,"",1,495,0,t,4900,5500,"","","","",0.3,d3a89c73-6b0e-4098-b45c-4c57425053d7,t
76,2024-03-06 09:24:29.329686+00,2026-01-25 05:00:16.759361+00,"",1,149,0,t,6400,7000,"","","","",1,344b74c5-1d11-4206-b16e-2bd5ccf6a245,t
151,2024-03-18 14:56:41.374856+00,2026-01-28 08:41:24.387899+00,"",1,998,0,t,2600,2900,"","","","",0.3,62bc4c3e-6e2e-4b7e-98e6-2f9075bdac53,t
54,2024-03-05 17:50:42.158042+00,2026-01-25 04:51:47.740802+00,"",1,21,0,t,4200,4500,"","","","",0.7,b1a4c002-ee72-45ce-a2ea-e3c660d4f259,t
679,2025-10-12 02:52:43.634304+00,2025-10-12 02:52:43.634304+00,"",1,50,0,t,3000,3000,"","","","",0.4,41ec936e-091b-4bdb-9820-189dc2c76499,t
318,2024-07-14 01:27:27.237243+00,2026-02-01 05:44:13.609214+00,"",1,680,0,t,10900,15000,"","","","",0.5,f44dadfe-ea03-42f1-ac3f-37eb4b111478,t
57,2024-03-05 18:37:22.557027+00,2026-01-25 04:54:34.761928+00,"",3,1000,0,t,4500,4800,"","","","",0.4,629b306a-796c-40c6-9b3c-7258ef305f8a,t
80,2024-03-06 13:55:52.411126+00,2025-03-15 10:38:54.179763+00,"",1,46,0,f,8500,8800,"","","","",0.7,c8a3c8a7-b701-4fee-b2a1-0f15b75cbf9b,f
680,2025-10-12 02:54:16.011582+00,2025-10-12 02:54:16.011582+00,"",1,50,0,t,3500,3500,"","","","",0.5,e13bac7f-883a-4842-ac82-8c33a6260090,t
72,2024-03-06 08:22:18.394357+00,2025-11-15 03:34:04.575072+00,"",1,88,0,f,6000,6000,"","","",430 GRAM,0.5,ff0ce794-0d72-4a89-af1f-0d99b13c99dd,t
70,2024-03-06 08:00:13.206613+00,2025-06-23 10:46:05.169801+00,"",0,80,0,f,5000,5000,"","","",560 GRAM,0.6,223c8ad4-7c3e-477f-a1a8-238e3c1536a7,f
369,2024-08-07 13:47:21.248562+00,2024-08-07 13:47:21.248562+00,"",1,50,0,t,2000,2000,"","","","",1,e0ea16f7-905d-4e1e-912c-c633e72224ad,f
299,2024-07-13 06:29:42.574605+00,2026-02-02 11:25:54.37213+00,"",1,629,0,t,5500,6000,"","","","",1,b1da19cf-9820-4844-ae0f-d34596f3d0c7,t
58,2024-03-05 18:49:38.747126+00,2026-01-25 04:55:27.583153+00,"",3,1000,0,t,5500,5900,"","","","",0.5,9047844a-bb8c-46cd-8cca-253b39f3fbd6,t
575,2025-09-08 11:35:55.0592+00,2025-09-08 11:35:55.0592+00,"",3,50,0,t,4000,4000,"","","","",1,88d8246f-3d9f-4cbe-a513-678b8322aa76,t
576,2025-09-08 11:36:52.567393+00,2025-09-08 11:36:52.567393+00,"",3,50,0,t,4000,4000,"","","","",1,a8e0eeb6-e099-4d49-b86a-9ae3ec4af762,t
